,_id,azienda,link,luogo,titolo
278,a_e8e70bbe4a0954f7273ac004358a9130,Intesa Sanpaolo,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Macroeconomic Analyst
279,a_fdf89a1e6d42f30ff0a85fac0e3a24bf,Page Personnel,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Business Analyst
280,a_69b280232338bbfcc17ce3b40cb88370,Lavoropiù,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Torino
",RESPONSABILE DATA ANALYST
281,a_140014c7fa4886ca991aeb935a95e23c,Sirti SpA,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",JUNIOR BUSINESS ANALYST - INTERNSHIP
282,a_dd2b2589cb4f790f92f8d08b366dc8d7,Page Personnel,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Provincia di Milano
",Fund Analyst Real Estate - SGR
283,a_7ca6adf90f515059902727578a6702c4,Page Personnel,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Provincia di Monza e Brianza
",Business Analyst - Varedo
284,a_e8a8be8f173ef2ca3c8e2c23580cb544,Execo srl,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Pero, Milano
",Sales Analyst & Support
285,a_327e80f407b5f9ba2ded3d358872add5,MConsulting,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",BUSINESS ANALYST appartenente alle Categorie Protette (ART 18)
286,a_8622f104fc80a69a08efe0ab9d8eff9d,LOGISTA ITALIA SPA,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Roma
",Stage -Junior Logistics Process Analyst
287,a_e34498a97e9e28a984568ed927f737b4,Alten,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Test Analyst
288,a_e4006a4ed5fca2f6f55648b306bb8d02,Alten,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Business Analyst Junior
289,a_e9071741fa38b7891a581b6001233473,Gi Group,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Segrate, Milano
",BUSINESS ANALYST
290,a_dc02252f88093e7f93f6f5dbf732889e,Umana,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Gallarate, Varese
",GLOBAL SERVICE DESK ANALYST
291,a_24d75027d8715650ad162fee254427d2,Esse-M Studio S.r.l.,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Assago, Milano
",INFORMATICO – DATA ANALYST
292,a_0b0279ea4e660e45318dbc59aa4843df,MConsulting - Ricerca e Selezione del Personale,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Business Analyst (Categorie Protette - Art. 18)
293,a_fd3560ba5e775ab8042c1660056807a0,Etjca,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",STAGE MARKETING ANALYST
294,a_f72f8b7114c39295a288828a62670414,Generali,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Mogliano Veneto, Treviso
",Process Analyst Specialist
295,a_ee5f188ea9e0523d435b148e4ebde934,Kiko,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Bergamo
",CUSTOMER CARE ANALYST
296,a_79bc106d67a293d74004f807fdcdd1a8,Gi Group,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Roma
",Performance Management and Reporting Analyst
297,a_2faedf5caa5b97734f99445bd1c0957d,Teamsoft Servizi Professionali,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Milano
",Tester Analyst - T2A8181
298,a_c6a88525303f965481742f7f39c5f067,Gi Group,https://www.careerjet.it/job/176c062cc9a6a797804c21e541279621.html,"
Como
",BUSINESS ANALYST
